Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
ACH infor including bank account numbers and routing numbers may have also been exposed,2017-10-24 00:00:00,,Update to 6/27/17 breach notice,,Additional 29 customers (in Maine,"US Cellular Corp, 8410 W Bryn Mawr, Chicago, IL 60631",,Maine
Name or other personal identifier in combination with SSN,2017-10-20 00:00:00,,7/19/17-7/26/17,,1(in Maine,"LightHouse Management Services, LLC d/b/a Home Properties, 300 Clinton Square, Rochester, NY 14606",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-20 00:00:00,,3/10/2017-9/28/17,,Not specified (in Maine,"Whole Foods Market Services, Inc., 550 Bowie Street, Austin, TX 78703",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2017-10-20 00:00:00,,2017-09-22 00:00:00,,1(in Maine,"College of theHoly Cross, 1 College Street, Worcester, MA 01610",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-19 00:00:00,,5/2017-9/2017,,Unknown (less than 1000)(in Maine,"C&K Properties d/b/a Corsetti's, 125 Bridgton Road, Westbrook, ME 04092",,Maine
Discover card account may have been compromised,2017-10-19 00:00:00,,"September, 2017",,2(in Maine,Atlantis Paradise Island,,Maine
Discover card account may have been compromised,2017-10-19 00:00:00,,"September, 2017",,1(in Maine,Innoas Inc.,,Maine
Discover card account may have been compromised,2017-10-19 00:00:00,,"September, 2017",,1(in Maine,Villa JTM 10 Internet Sales,,Maine
Discover card account may have been compromised,2017-10-19 00:00:00,,"September, 2017",,6(in Maine,Walk in the Word-E Com,,Maine
Discover card account may have been compromised,2017-10-19 00:00:00,,"September, 2017",,43(in Maine,Way.com,,Maine
Name or other personal identifier in combination with Driver's license number or non-driver identification card number.,2017-10-18 00:00:00,,2014-04-11 00:00:00,,5(in Maine,"CCI Holdings, Inc. d/b/a Coin Café, 240 Kent Ave, Brooklyn, NY 11249",,Maine
Notice letters were addressed to the individual who placed the order on ICSC's website rather than the cardolder.,2017-10-16 00:00:00,,2017-09-15 00:00:00,,4(in Maine,"International Council of Shopping Centers (""ICSC"") - Update",,Maine
Name or other personal identifier in combination with SSN,2017-10-16 00:00:00,,Approx. Feb 2016,,8(in Maine,"BMT Designers & Planners, Inc; 4401 Ford Avenue, Suite 1000, Alexandria, VA 22302",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-16 00:00:00,,10/1/17-10/2/17,,38(in Maine,"Pizza Hut, LLC, 7100 Corporate Drive, Plano, TX 75024",,Maine
"Name, address, phone number, email address, payment card number, expiration date, and CVV code",2017-10-16 00:00:00,,3/10/17 - 6/7/17,,147(in Maine,Spark Pay Online (firner subsidiary of Capital One),,Maine
"Name, address, email address and credit or debit card information",2017-10-13 00:00:00,,7/21/17-8/9/17,,2(in Maine,"West Music Company, Inc., 1212 5th Street, Coralville, IA 52241",,Maine
Notice of original notice was sent to the person who placed the order instead of the actual cardholder.  The letters were mailed 10/16/17 to card holders.,2017-10-16 00:00:00,,Update to the 9/15/17 Notice,,4(in Maine,"International Council of Shopping Centers (""ICSC"")",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-13 00:00:00,,9/13/17-9/15/17,,1(in Maine,"PressureParts, Inc., 7820 L. Street, Omaha, NE 68127",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-12 00:00:00,,2017-05-27 00:00:00,,119(in Maine,"Provo Craft & Novelty, Inc., d/b/a Cricut, 10855 South River Front Parkway #400, South Jordan, Utah 84095",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-12 00:00:00,,3/18/17-7/2/17,,19(in Maine,"Hyatt Hotels Corp, 71 South Wacker Drive, 12th Floor, Chicago, IL 60606",,Maine
Name or other personal identifier in combination with SSN & Driver's license number or non-driver identification card number.,2017-10-12 00:00:00,,5/13/17-7/30/17,,"536,436 approx(in Maine","Equifax, Inc., 1550 Peachtree Street, N.E., Atlanta,GA 30309",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-11 00:00:00,,Early May 2017,,3(in Maine,"Universal Nutrition, 3 Terminal Road, New Brunswick, NJ, 08901",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-10 00:00:00,,2017-09-26 00:00:00,,26(in Maine,"Droege Computing Services, 20 West Colony Place, Durham, NC 27705",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-10 00:00:00,,7/21-9/9/17,,8(in Maine,"Atlantic Cigar Company, LLC, 3 Horne Drive, Suite 102, Folcroft, PA 19032",,Maine
Name or other personal identifier in combination with SSN,2017-10-09 00:00:00,,3/17-7/17,,1(in Maine,"Phillips & Temro Industries, Inc., 9700 West 74th Street, Eden Prairie, MN 55344",,Maine
"Name, address, phone number, email address, credit card or debit card numbers, exp dates and security numbers",2017-10-09 00:00:00,,1/2/17-8/9/17,,9(in Maine,ABC Carpet & Home,,Maine
"Name, address, email address, payment card information and verification codes.",2017-10-09 00:00:00,,7/1/17-8/9/17,,31(in Maine,"Kayser-Roth Corporation, 102 Corporate Center Blvd, Greensboro, NC 27408",,Maine
Personally identifiable information,2017-10-06 00:00:00,,"7/31, 8/26, 8/27/ 8/28 and as early as 11/12/16",,30(in Maine,Catholic United Financial,,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-06 00:00:00,,4/25/17-8/29/17,,167(in Maine,"Tommie Copper, Inc., 74 South Moger Avenue, Mount Kisco, NY 10549",,Maine
"Name, SSN, birthdate, address, email address, account number, code work, and phone number",2017-10-06 00:00:00,,Dec of 2014 to Dec of 2016,,Approx. 3(in Maine,Navy Federal Credit Union,,Maine
No names or addresses ,2017-10-05 00:00:00,,(Discovered 7/4/17),,Potentially 759 who used kiosks in Maine during the at risk period (in Maine,Avanti Markets Inc. (Update),,Maine
Name or other personal identifier in combination with SSN,2017-10-05 00:00:00,,9/4/17-9/5/17,,1(in Maine,"Cabrillo Community College District, 6500 Soquel Drive, Aptos, CA 95003",,Maine
Name or other personal identifier in combination with SSN,2017-10-05 00:00:00,,2017-08-17 00:00:00,,1(in Maine,"McNair & Company, Inc.1313 Dolley Madison Blvd, Suite 309, McLean, VA 22101",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-05 00:00:00,,12/5/13-8/26/17,,1(in Maine,"Neue Galerie, 1048 5th Avenue, New York, NY 10028",,Maine
"Name, address, email address and credit or debit card information",2017-10-05 00:00:00,,Discovered 9/15/17,,Not specified.(in Maine,"Lake Champlain Chocolates, 750 Pine Street, Burlington, VT 05401",,Maine
Name or other personal identifier in combination with credit and debit card numbers,2017-10-04 00:00:00,,Discovered 9/30/17,,States N/A(in Maine,"SONIC Corp, 300 Johnny Bench Drive, Oklahoma City, OK 73104",,Maine
"Name, email address, password, address, phone number, birthdate, SSN, employment info, self-reported income, bank account info and/or payment card info",2017-10-03 00:00:00,,Discovered 8/30/17,,713(in Maine,FlexShopper,,Maine
See prior notice in Dec 2016,2017-10-03 00:00:00,,August of 2013,,"Additional 388,562 Maine user accounts(in Maine","Yahoo, Inc. (update)",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-10-02 00:00:00,,7/6/17-8/9/17,,1(in Maine,"Alpha Industries, Inc, 14200 Park Meadow Drive, Ste 110S, Chantilly, VA 20151",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-29 00:00:00,,6/20/14 (discovered 7/26/17),,53(in Maine,"The Online Traffic School, 225 East Robinson Street, Suite 570, Orlando, FL 32801",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number ",2017-09-29 00:00:00,,7/25/17-7/28/17,,1(in Maine,"Briggs & Stratton Corp, 12301 West Wirth Street, Wauwatosa, WI 53222",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-29 00:00:00,,2017-07-21 00:00:00,,19(in Maine,"Cheddar's Cashual Café Inc., 2900 Ranch Trail, Irving, TX 75063",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-26 00:00:00,,May of 2017,,1(in Maine,"Lendio, Inc., 10235 South Jordan Parkway, Suite 410, South Jordan, Utah 84095",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-25 00:00:00,,2017-07-01 00:00:00,,10(in Maine,"Century LLC, 1000 Century Blvd, Oklahoma City, Oklahoma 73110",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-22 00:00:00,,7/4-7/6/17,,2(in Maine, ,,Maine
"Name, address, phone number, payment card number, expiration date and CVV code",2017-09-22 00:00:00,,7/22/17 - 8/9/17,,90(in Maine,"Plow & Hearth, LLC, 7021 Wolftown-Hood Road, Madison, VA 22727: 540-948-2272",,Maine
"Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-09-22 00:00:00,,2017-08-08 00:00:00,,3(in Maine,"NCI Group, Inc., 10943 North Sam Houston Parkway West, Houston, TX 77064",,Maine
"Phone numbers, PINs and/or security questions associated with the phone numbers",2017-09-20 00:00:00,,5/7/17-7/22/17,,2(in Maine,"Sprint Corporation, 12512 Sunrise Valley Dr. Reston, VA 20191",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2017-09-19 00:00:00,,2017-08-23 00:00:00,,54(in Maine,"W.W. Grainger, Inc., 100 Grainger Parkway, Lake Forest, IL 60045",,Maine
Name or other personal identifier in combination with SSN,2017-09-19 00:00:00,,Discovered 7/31/17,,60(in Maine,"AM2 Enterprises, LLC",,Maine
Name or other personal identifier in combination with SSN,2017-09-18 00:00:00,,2017-05-18 00:00:00,,8(in Maine,"TRUEbenefits LLC, 1215 4th Ave, Suite 2200; Seattle, WA 98161",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2017-09-15 00:00:00,,10/26/16-5/30/17; 8/28/17-9/5/17,,122(in Maine,"Bulletproof 360, Inc., 1750 112th Avenue NE Suite C-242, Bellevue, WA 98004 (email)",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2017-09-15 00:00:00,,3/24/17-08/18/17,,15(in Maine,"The International Council of Shopping Centers, 1221 Avenue of the Americas, 41st floor, New York, NY 10020",,Maine
Name or other pesonal  identifier in combination with SSN,2017-09-15 00:00:00,,2017-08-14 00:00:00,,2(in Maine,"Brambles USA Inc., 180 Technology Parkway, Suite 600, Norcross, GA 30092",,Maine
Discover card account info may have been compromised,2017-09-12 00:00:00,,2017-08-01 00:00:00,,3(in Maine,AMERICAN QUILTERS SOCIETY,,Maine
Discover card account info may have been compromised,2017-09-12 00:00:00,,2017-08-01 00:00:00,,9(in Maine,Chipolte,,Maine
Discover card account info may have been compromised,2017-09-12 00:00:00,,2017-08-01 00:00:00,,1(in Maine,Commercial Industrial Supply,,Maine
Discover card account info may have been compromised,2017-09-12 00:00:00,,2017-08-01 00:00:00,,5(in Maine,"Fairfield Mint, LLC",,Maine
Discover card account info may have been compromised,2017-09-12 00:00:00,,2017-08-01 00:00:00,,1(in Maine,Framesbymail,,Maine
